"_key",templateName,thresholdDuration,thresholdIndex,thresholdMessage,thresholdMetric,thresholdSeverityCode,thresholdType,thresholdValue
60ca2697b24da9691313084a,"Template FORTINET",10,"vpn-004-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da9691313084b,"Template FORTINET",10,"vpn-004-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da9691313084c,"Template FORTINET",10,"vpn-004-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da9691313084d,"Template FORTINET",10,wan1,"Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da9691313084e,"Template FORTINET",10,internal2,"Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da9691313084f,"Template FORTINET",10,internal1,"Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2698b24da96913130850,"Template FORTINET",10,"SDWAN_WAN_2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2698b24da96913130851,"Template FORTINET",10,"SDWAN_WAN_1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2698b24da96913130852,"Template FORTINET",10,"SDWAN_MPLS_2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2698b24da96913130853,"Template FORTINET",10,"SDWAN_MPLS_1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2698b24da96913130854,"Template FORTINET",10,"vpn-025-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
