metric,edgeId,linkId,solucao,interface,"alert_close_time","alert_time",id,impact,"last_alert_event",message,priority,status,triggers,update,urgency
"packet_loss_percent",460,,202058101,SFP2,1631741703,1631702104,94da2039df603b28a275218c684aa736,performance,,"A perda de pacotes da interface SFP2 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,948,,201922181,GE4,1631741402,1631741104,0400689888d9928ed49d12b0ec5df585,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,948,,201922181,GE3,1631739304,1631739004,74c20b8dce3c3a6945937d84940c64bb,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
linkState,948,,201922181,GE4,1631739304,1631739004,35b96c65dd3212649107882a2a127d38,high,,"Link GE4 entrou em status UNSTABLE",high,CLOSED,,,high
status,1562,,202162232,GE3,1631738403,1631738104,fd6d112ff4306c53caa55066b4fdf19f,high,,"Edge 1562 entrou em status DEGRADED",high,CLOSED,,,high
status,1562,,202162232,GE4,1631738403,1631738104,18978f1b7fe639fe87d9c3d552770953,high,,"Edge 1562 entrou em status DEGRADED",high,CLOSED,,,high
linkState,1273,,201922181,GE4,1631736903,1631736304,d84cac9b0367cd57ee54fbff0452289e,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
status,1584,,202162232,GE4,1631736903,1631736604,3530f7a0be5faf5f0e0f80bddea687a4,high,,"Edge 1584 entrou em status OFFLINE",high,CLOSED,,,high
"packet_loss_percent",1007,,201922181,GE3,1631736604,1631724604,f1eb6356eddabbfe121ec723ac217346,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,410,,20197441,GE4,1631735104,1631734804,74fa1a87eccf102a1a8d325205383818,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1585,,202162232,GE2,1631734804,1631734503,69bd669a8e3128cdbcde1de339686b12,high,,"Link GE2 entrou em status DISCONNECTED",high,CLOSED,,,high
